Grupa: 1a
;Poniedziałek;Wtorek;Środa;Czwartek;Piątek
8;;;;;
9;;;;;
10;;"Religia
ks. Maciej";;;
11;;"Matematyka
Joanna Całka";;;
12;;;;;
13;;;;;
14;;;;;
15;;;;;
16;;;;;
17;;;;;
18;;;;;
19;;;;;
20;;;;;

Grupa: 1b
;Poniedziałek;Wtorek;Środa;Czwartek;Piątek
8;;;;;
9;;;;;
10;;;;;
11;;;;;
12;;;;;
13;;;;;
14;;;;;
15;;;;;
16;;;;;
17;;"Religia
ks. Maciej";;;
18;;"Matematyka
Joanna Całka";;;
19;;;;;
20;;;;;

Grupa: 1c
;Poniedziałek;Wtorek;Środa;Czwartek;Piątek
8;;;;;
9;;;;;
10;;;;;
11;;;;;
12;;;;;
13;;;;;
14;;;;;"Religia
ks. Maciej"
15;;;;;"Matematyka
Jan Pasibrzuch"
16;;;;;
17;;;;;
18;;;;;
19;;;;;
20;;;;;

Grupa: 1d
;Poniedziałek;Wtorek;Środa;Czwartek;Piątek
8;"Religia
ks. Maciej";;;;"Religia
ks. Maciej"
9;"Religia
ks. Maciej";;;;"Religia
ks. Maciej"
10;"Religia
ks. Maciej";;;;"Religia
ks. Maciej"
11;"Religia
ks. Maciej";;;;"Matematyka
Jan Pasibrzuch"
12;;;;;
13;;"Religia
ks. Maciej";;;
14;;"Religia
ks. Maciej";;;
15;;"Religia
ks. Maciej";;;
16;;"Religia
ks. Maciej";;;
17;;;;;
18;;;;;
19;;;;;
20;;;;;

The first line
The second line
